Mes,Subestacao,Consumo(kWh)
Julho,Planalto,1831
Abril,Horizonte,1287
Novembro,Litoral,1064
Agosto,Litoral,1085
Maio,Litoral,1758
Julho,Progresso,720
Outubro,Planalto,1895
Marco,Planalto,1806
Julho,Progresso,199
Novembro,Litoral,1313
Novembro,Litoral,1145
Agosto,Horizonte,241
Maio,Litoral,877
Abril,Aurora,278
Agosto,Litoral,333
Agosto,Horizonte,1990
Marco,Aurora,1532
Junho,Horizonte,1404
Maio,Horizonte,1544
Fevereiro,Planalto,283
Agosto,Progresso,382
Dezembro,Horizonte,92
Junho,Litoral,1484
Fevereiro,Planalto,840
Dezembro,Aurora,804
Maio,Progresso,146
Janeiro,Planalto,422
Dezembro,Horizonte,651
Outubro,Planalto,284
Junho,Litoral,1493
Dezembro,Litoral,146
Setembro,Litoral,1958
Janeiro,Progresso,1367
Novembro,Planalto,1857
Novembro,Planalto,1659
Outubro,Horizonte,988
Dezembro,Aurora,301
Dezembro,Litoral,417
Marco,Aurora,90
Dezembro,Aurora,1373
Julho,Litoral,834
Abril,Litoral,357
Setembro,Horizonte,1372
Marco,Progresso,1864
Maio,Litoral,50
Marco,Aurora,142
Julho,Horizonte,330
Maio,Planalto,1591
Setembro,Horizonte,507
Julho,Litoral,537
Fevereiro,Litoral,871
Abril,Progresso,895
Setembro,Horizonte,456
Dezembro,Litoral,1348
Fevereiro,Aurora,976
Outubro,Aurora,536
Setembro,Horizonte,1176
Outubro,Progresso,855
Maio,Horizonte,1476
Fevereiro,Progresso,1180
Abril,Aurora,1458
Dezembro,Litoral,279
Dezembro,Planalto,1278
Julho,Litoral,1450
Dezembro,Aurora,227
Agosto,Aurora,147
Marco,Litoral,619
Janeiro,Litoral,386
Abril,Aurora,977
Fevereiro,Litoral,226
Agosto,Planalto,659
Abril,Planalto,786
Fevereiro,Horizonte,797
Junho,Planalto,1165
Junho,Aurora,989
Outubro,Aurora,300
Abril,Horizonte,1998
Junho,Progresso,1575
Fevereiro,Horizonte,1430
Outubro,Progresso,265
Dezembro,Progresso,481
Fevereiro,Litoral,1921
Outubro,Planalto,1790
Abril,Progresso,587
Agosto,Litoral,1208
Julho,Horizonte,1117
Dezembro,Horizonte,1727
Setembro,Progresso,101
Agosto,Litoral,721
Maio,Aurora,1946
Fevereiro,Planalto,764
Maio,Progresso,124
Agosto,Aurora,901
Outubro,Planalto,1258
Setembro,Aurora,101
Dezembro,Litoral,979
Dezembro,Progresso,288
Dezembro,Aurora,675
Setembro,Aurora,1774
Janeiro,Aurora,1135
Setembro,Progresso,807
Julho,Litoral,775
Setembro,Litoral,1032
Agosto,Aurora,1038
Janeiro,Litoral,381
Dezembro,Planalto,1944
Agosto,Litoral,208
Agosto,Aurora,462
Novembro,Planalto,336
Marco,Progresso,573
Janeiro,Horizonte,1876
Agosto,Litoral,1051
Marco,Planalto,1064
Marco,Horizonte,362
Janeiro,Progresso,1754
Novembro,Horizonte,76
Maio,Progresso,1984
Outubro,Aurora,1551
Julho,Aurora,888
Outubro,Progresso,1439
Setembro,Horizonte,457
Dezembro,Litoral,387
Julho,Horizonte,457
Setembro,Horizonte,1149
Agosto,Litoral,1741
Dezembro,Horizonte,124
Fevereiro,Horizonte,308
Janeiro,Planalto,406
Julho,Progresso,1588
Julho,Aurora,334
Agosto,Progresso,1489
Maio,Horizonte,1127
Marco,Litoral,1495
Dezembro,Litoral,1296
Agosto,Aurora,1513
Junho,Aurora,882
Novembro,Aurora,790
Marco,Litoral,1734
