Mes,Subestacao,Consumo(kWh)
Julho,Aurora,1466
Abril,Aurora,573
Novembro,Planalto,1800
Agosto,Aurora,1725
Maio,Progresso,347
Julho,Aurora,506
Outubro,Planalto,1510
Marco,Aurora,1419
Julho,Aurora,527
Novembro,Progresso,1258
Novembro,Progresso,1797
Agosto,Progresso,321
Maio,Aurora,510
Abril,Progresso,1172
Agosto,Horizonte,483
Agosto,Litoral,1717
Marco,Litoral,676
Junho,Progresso,1546
Maio,Planalto,1342
Fevereiro,Progresso,1645
Agosto,Progresso,845
Dezembro,Aurora,670
Junho,Planalto,445
Fevereiro,Progresso,1481
Dezembro,Horizonte,909
Maio,Litoral,1970
Janeiro,Horizonte,979
Dezembro,Horizonte,436
Outubro,Horizonte,583
Junho,Planalto,1414
Dezembro,Planalto,1612
Setembro,Planalto,1990
Janeiro,Litoral,263
Novembro,Aurora,446
Novembro,Progresso,93
Outubro,Progresso,641
Dezembro,Aurora,415
Dezembro,Progresso,1865
Marco,Horizonte,223
Dezembro,Litoral,322
Julho,Progresso,1846
Abril,Litoral,1623
Setembro,Aurora,1644
Marco,Progresso,539
Maio,Litoral,1996
Marco,Horizonte,1255
Julho,Horizonte,1690
Maio,Aurora,1169
Setembro,Planalto,651
Julho,Progresso,1144
Fevereiro,Horizonte,661
Abril,Horizonte,1384
Setembro,Aurora,376
Dezembro,Horizonte,1756
Fevereiro,Progresso,396
Outubro,Aurora,215
Setembro,Litoral,929
Outubro,Aurora,801
Maio,Progresso,1289
Fevereiro,Progresso,393
Abril,Litoral,110
Dezembro,Aurora,1259
Dezembro,Progresso,413
Julho,Progresso,974
Dezembro,Litoral,1073
Agosto,Planalto,1255
Marco,Aurora,1804
Janeiro,Progresso,83
Abril,Horizonte,454
Fevereiro,Litoral,1630
Agosto,Planalto,946
Abril,Planalto,187
Fevereiro,Litoral,1771
Junho,Planalto,1935
Junho,Progresso,77
Outubro,Planalto,155
Abril,Aurora,1871
Junho,Horizonte,1869
Fevereiro,Progresso,206
Outubro,Litoral,1872
Dezembro,Horizonte,1180
Fevereiro,Progresso,1306
Outubro,Horizonte,245
Abril,Planalto,1058
Agosto,Litoral,1924
Julho,Litoral,251
Dezembro,Aurora,158
Setembro,Planalto,592
Agosto,Aurora,1811
Maio,Aurora,90
Fevereiro,Planalto,1137
Maio,Progresso,1816
Agosto,Aurora,939
Outubro,Horizonte,731
Setembro,Progresso,861
Dezembro,Planalto,464
Dezembro,Litoral,421
Dezembro,Progresso,1724
Setembro,Aurora,853
Janeiro,Horizonte,413
Setembro,Planalto,1309
Julho,Litoral,1873
Setembro,Horizonte,520
Agosto,Litoral,1945
Janeiro,Planalto,549
Dezembro,Progresso,1055
Agosto,Aurora,472
Agosto,Planalto,628
Novembro,Horizonte,1261
Marco,Progresso,1933
Janeiro,Litoral,1866
Agosto,Progresso,1613
Marco,Progresso,452
Marco,Horizonte,543
Janeiro,Aurora,1796
Novembro,Progresso,1307
Maio,Progresso,541
Outubro,Aurora,974
Julho,Aurora,995
Outubro,Litoral,580
Setembro,Litoral,1385
Dezembro,Aurora,1987
Julho,Planalto,990
Setembro,Aurora,162
Agosto,Litoral,1574
Dezembro,Horizonte,393
Fevereiro,Horizonte,407
Janeiro,Progresso,175
Julho,Horizonte,1793
Julho,Litoral,131
Agosto,Horizonte,301
Maio,Planalto,1626
Marco,Aurora,431
Dezembro,Aurora,1854
Agosto,Litoral,766
Junho,Progresso,1172
Novembro,Aurora,501
Marco,Horizonte,644
Janeiro,Planalto,73
Marco,Progresso,1490
Maio,Progresso,402
Marco,Progresso,122
Janeiro,Aurora,744
Maio,Progresso,564
Outubro,Litoral,820
Julho,Horizonte,1103
Julho,Planalto,707
Novembro,Horizonte,1523
Setembro,Litoral,1553
Outubro,Litoral,988
Outubro,Horizonte,1530
Dezembro,Aurora,883
Marco,Litoral,1797
Julho,Progresso,1100
Janeiro,Planalto,1429
Abril,Planalto,1690
Abril,Litoral,671
Maio,Progresso,68
Julho,Horizonte,577
Julho,Planalto,843
Novembro,Progresso,1343
Abril,Progresso,1632
Julho,Aurora,1219
Novembro,Litoral,1741
Marco,Progresso,1952
Junho,Horizonte,1988
Dezembro,Planalto,591
Fevereiro,Aurora,666
Outubro,Horizonte,1222
Setembro,Planalto,1990
Maio,Litoral,1633
Junho,Horizonte,1256
Dezembro,Planalto,1743
Dezembro,Aurora,1115
Dezembro,Planalto,214
Dezembro,Progresso,858
Abril,Aurora,1759
Novembro,Horizonte,913
